koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname_q1_q16_tce,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,koi_depth_err1,koi_time0bk_err1,koi_insol_err1,koi_model_snr,koi_kepmag,koi_period_err2,koi_slogg_err2,koi_prad_err2,koi_prad_err1,ra,koi_duration,dec,koi_period,koi_depth,koi_srad,koi_srad_err2,koi_duration_err2,koi_steff_err1,koi_time0bk,koi_slogg_err1,koi_score,koi_period_err1,koi_insol_err2,koi_teq,koi_time0bk_err2,koi_steff_err2,koi_impact_err2,koi_steff,koi_duration_err1,koi_impact_err1,koi_tce_plnt_num,koi_insol,koi_depth_err2,koi_impact,koi_prad,koi_slogg,koi_srad_err1
0,0,1,1,0.0,0.0,1.0,3.2,0.0217,3251.57,11.6,13.793,-2.83e-05,-0.196,-0.08,0.18,295.30353,4.143,46.80574,1.33250451,27.4,1.157,-0.15,-0.499,165.0,132.1018,0.084,0.0,2.83e-05,-1252.18,1993.0,-0.0217,-214.0,-0.295,6600.0,0.499,0.184,1.0,3726.12,-3.2,0.295,0.62,4.364,0.35
0,0,0,0,0.0,0.0,1.0,13.3,0.00292,324.93,35.6,14.959,-2.2e-05,-0.216,-0.23,0.7,292.13525,4.9377,37.889622,6.31219171,404.0,1.075,-0.116,-0.0922,169.0,136.93315,0.054,1.0,2.2e-05,-106.57,1096.0,-0.00292,-225.0,-0.018,6322.0,0.0922,0.41,1.0,342.04,-13.3,0.018,2.17,4.426,0.349
0,0,0,0,0.0,0.0,1.0,48.7,0.0015,11.23,81.8,15.897,-9.6e-05,-0.098,-1.86,1.4,294.96606,5.2637,42.708569,51.92920654,3430.0,1.442,-0.316,-0.0622,85.0,151.93321,0.196,0.995,9.6e-05,-10.82,574.0,-0.0015,-77.0,-0.223,5671.0,0.0622,0.412,1.0,25.6,-48.7,0.398,8.49,4.128,0.237
0,0,0,0,0.0,0.0,1.0,6.2,0.00297,155.25,30.8,13.939,-2.19e-05,-0.104,-0.27,0.26,286.27176,3.0998,43.59523,6.24145791,164.0,1.259,-0.207,-0.0738,79.0,134.88892,0.156,1.0,2.19e-05,-122.07,1111.0,-0.00297,-79.0,-0.029,5810.0,0.0738,0.409,1.0,360.09,-6.2,0.029,1.6,4.25,0.207
0,0,0,0,0.0,0.0,1.0,13.9,0.00155,141.54,48.1,15.371,-7.82e-06,-0.12,-0.15,0.36,288.72665,3.1646,44.60751,3.886655224,582.0,0.738,-0.06,-0.0604,153.0,169.73814,0.032,1.0,7.82e-06,-59.99,1010.0,-0.00155,-153.0,-0.476,5662.0,0.0604,0.053,1.0,246.29,-13.9,0.649,1.87,4.61,0.14
1,0,0,0,1.0,0.0,0.0,59.1,0.0557,0.58,5.8,15.006,-0.0263,-0.24,-0.11,0.53,286.55554,11.26,49.240501,405.6296,304.0,0.79,-0.059,-2.1,159.0,245.7373,0.03,0.0,0.0263,-0.12,216.0,-0.0557,-144.0,-0.4489,5583.0,2.1,0.0064,1.0,0.52,-59.1,0.4652,1.4,4.58,0.299
1,0,1,1,0.0,0.0,1.0,4.7,0.0304,3729.13,10.5,15.194,-2.66e-05,-0.224,-0.07,0.21,292.13193,4.156,47.56374,0.93373895,39.6,1.006,-0.112,-0.515,188.0,132.4707,0.056,0.0,2.66e-05,-1153.35,1993.0,-0.0304,-206.0,-0.259,6223.0,0.515,0.226,1.0,3723.37,-4.7,0.259,0.64,4.459,0.335
0,0,1,0,0.0,0.0,1.0,28.3,0.0146,19.36,7.9,14.68,-0.000385,-0.165,-0.18,0.27,299.55539,3.024,40.996132,26.2402438,174.0,0.875,-0.136,-0.391,169.0,151.5242,0.12,0.112,0.000385,-10.08,583.0,-0.0146,-169.0,-0.36,5649.0,0.391,0.1,1.0,27.36,-28.3,0.36,1.16,4.45,0.203
0,1,0,0,0.0,0.0,1.0,13.9,0.000143,93.77,322.3,12.336,-3.22e-06,-0.192,-2.3,4.26,287.61633,1.8248,39.127239,17.51201477,4510.0,1.132,-0.19,-0.00727,197.0,174.282592,0.144,0.0,3.22e-06,-40.37,804.0,-0.000143,-241.0,-0.007,6224.0,0.00727,0.243,1.0,98.77,-13.9,0.994,13.66,4.33,0.353
0,0,0,0,0.0,0.0,1.0,35.6,0.00391,26.18,20.1,15.65,-9.42e-05,-0.168,-0.18,0.52,287.05701,3.453,49.046021,19.80787763,616.0,0.84,-0.071,-0.131,143.0,139.37983,0.032,1.0,9.42e-05,-9.24,624.0,-0.00391,-172.0,-0.054,5775.0,0.131,0.389,1.0,35.89,-35.6,0.054,2.08,4.558,0.212
0,0,0,0,0.0,0.0,1.0,24.9,0.00322,4.27,31.2,13.597,-0.000187,-0.11,-0.21,0.38,290.67313,4.002,38.69101,49.5674085,730.0,0.927,-0.066,-0.0847,111.0,169.54227,0.059,0.999,0.000187,-2.27,465.0,-0.00322,-111.0,-0.599,5569.0,0.0847,0.055,3.0,11.09,-24.9,0.866,2.91,4.474,0.122
1,0,0,0,1.0,0.0,0.0,1310.0,0.00439,0.04,59.9,15.921,-0.00129,-0.06,-109.0,109.0,285.70206,3.85,44.686989,253.652263,26500.0,0.537,-0.05,-0.133,50.0,230.25666,0.06,0.0,0.00129,-0.03,159.0,-0.00439,-50.0,-7.329,3960.0,0.133,4.996,1.0,0.15,-1310.0,20.7849,1169.79,4.721,0.05
0,1,1,0,0.0,0.0,1.0,16.0,0.00321,234.48,38.1,12.967,-8.84e-05,-0.182,-46.9,20.1,286.46616,4.498,48.495918,21.78769087,508.0,3.05,-1.986,-0.149,170.0,136.69645,0.773,0.0,8.84e-05,-247.91,1042.0,-0.00321,-153.0,-0.326,5627.0,0.149,70.95,1.0,278.24,-16.0,1.192,71.95,3.633,0.851
